,observed,value
107,2024-12-05 11:00:00+00:00,7.2
108,2024-12-05 12:00:00+00:00,7.366666666666667
109,2024-12-05 13:00:00+00:00,7.966666666666666
110,2024-12-05 14:00:00+00:00,8.049999999999999
111,2024-12-05 15:00:00+00:00,8.683333333333334
112,2024-12-05 16:00:00+00:00,8.4
113,2024-12-05 17:00:00+00:00,8.950000000000001
114,2024-12-05 18:00:00+00:00,8.866666666666667
115,2024-12-05 19:00:00+00:00,8.783333333333333
116,2024-12-05 20:00:00+00:00,8.049999999999999
117,2024-12-05 21:00:00+00:00,7.783333333333332
118,2024-12-05 22:00:00+00:00,7.45
119,2024-12-05 23:00:00+00:00,7.116666666666667
120,2024-12-06 00:00:00+00:00,7.2
121,2024-12-06 01:00:00+00:00,7.2
122,2024-12-06 02:00:00+00:00,8.233333333333334
123,2024-12-06 03:00:00+00:00,7.883333333333333
124,2024-12-06 04:00:00+00:00,6.783333333333334
125,2024-12-06 05:00:00+00:00,6.033333333333334
126,2024-12-06 06:00:00+00:00,6.866666666666667
127,2024-12-06 07:00:00+00:00,5.8500000000000005
128,2024-12-06 08:00:00+00:00,5.216666666666666
129,2024-12-06 09:00:00+00:00,4.35
130,2024-12-06 10:00:00+00:00,4.433333333333333
131,2024-12-06 11:00:00+00:00,4.516666666666667
132,2024-12-06 12:00:00+00:00,3.4333333333333336
133,2024-12-06 13:00:00+00:00,3.1833333333333336
134,2024-12-06 14:00:00+00:00,1.7833333333333332
135,2024-12-06 15:00:00+00:00,1.8
136,2024-12-06 16:00:00+00:00,1.8833333333333335
137,2024-12-06 17:00:00+00:00,1.9666666666666668
138,2024-12-06 18:00:00+00:00,1.5166666666666666
139,2024-12-06 19:00:00+00:00,2.3333333333333335
140,2024-12-06 20:00:00+00:00,1.0
141,2024-12-06 21:00:00+00:00,1.0
142,2024-12-06 22:00:00+00:00,0.8333333333333334
143,2024-12-06 23:00:00+00:00,1.0
144,2024-12-07 00:00:00+00:00,1.4333333333333333
145,2024-12-07 01:00:00+00:00,1.7
146,2024-12-07 02:00:00+00:00,2.85
